,Name,Birthdate
1459,Dean Karnazes,1962-08-23
1460,Jonathan Tropper,1970-02-19
1461,Tony Hawks,1960-02-27
1462,Martin E.P. Seligman,1942-08-12
1463,Iris Murdoch,1919-07-15
1464,Bruce Coville,1950-05-16
1465,John Bellairs,1938-01-17
1466,Kiyohiko Azuma,1968-05-27
1467,Sara Zarr,1970-10-03
1468,Ivan Doig,1939-06-27
1469,Harry Gregson-Williams,1961-12-13
1470,Maurice Leblanc,1864-12-11
1471,Fritjof Capra,1939-02-01
1472,George Bernard Shaw,1856-07-26
1473,Julie Andrews Edwards,1935-10-01
1474,Alice Munro,1931-07-10
1475,Georges Bataille,1897-09-10
1476,Jean Racine,1639-12-21
1477,F. Paul Wilson,1946-05-17
1478,Nevada Barr,1952-03-01
1479,Edward S. Herman,1925-04-07
1480,David Simon,1960-02-09
1481,Robertson Davies,1913-08-28
1482,Peter Shaffer,1926-05-15
1483,Hiroyuki Takei,1972-05-15
1484,Flann O'Brien,1911-10-05
1485,Michael Herr,1940-04-13
1486,Maurice Druon,1918-04-23
1487,John Steakley,1951-07-26
1488,Richard Ford,1944-02-16
1489,Nando Parrado,1949-12-09
1490,Pramoedya Ananta Toer,1925-02-06
1491,Ludwig Wittgenstein,1889-04-26
1492,Ralph Waldo Emerson,1803-05-25
1493,Carole Radziwill,1963-08-20
1494,Andrew Loomis,1892-06-15
1495,Martha Stewart,1941-08-03
1496,Louise L. Hay,1926-10-08
1497,Thomas  Moore,1779-05-28
1498,Guy Debord,1931-12-28
1499,Henry Hazlitt,1894-11-28
1500,Celia Rees,1949-06-17
1501,Mervyn Peake,1911-07-09
1502,Steven Callahan,1952-02-06
1503,Roger Lea MacBride,1929-08-06
1504,Nancy Werlin,1961-10-29
1505,Siri Hustvedt,1955-02-19
1506,Michael Dorris,1945-01-30
1507,Pamela Des Barres,1948-09-09
1508,Eiji Yoshikawa,1892-08-11
1509,Tom Brokaw,1940-02-06
1510,Judith Kerr,1923-06-14
1511,Tracy Letts,1965-07-04
1512,George Carlin,1937-05-12
1513,Robert B. Parker,1932-09-17
1514,Dossie Easton,1944-02-26
1515,Ivo Andrić,1892-10-09
1516,Julian Barnes,1946-01-19
1517,Joanna Weaver,1957-03-11
1518,Saul Bellow,1915-06-10
1519,Mireille Guiliano,1946-04-14
1520,Tom Holland,1996-06-01
1521,Harold S. Kushner,1935-04-03
1522,James D. Watson,1928-04-06
1523,Patricia Polacco,1944-07-11
1524,Laura Schlessinger,1947-01-16
1525,Dale Brown,1956-11-02
1526,Langston Hughes,1901-02-01
1527,Yvon Chouinard,1938-11-09
1528,Simon Schama,1945-02-13
1529,Dan Jurgens,1959-06-27
1530,Jeffrey Toobin,1960-05-21
1531,Steve Wozniak,1950-08-11
1532,John Ortberg,1957-05-05
1533,Marv Wolfman,1946-05-13
1534,Elaine Pagels,1943-02-13
1535,Theodore Sturgeon,1918-02-26
1536,Susan Orlean,1955-10-31
1537,Sara Paretsky,1947-06-08
1538,Steve Perry,1949-01-22
1539,Jaroslav Hašek,1883-04-30
1540,John D. Fitzgerald,1906-02-03
1541,Bart D. Ehrman,1955-10-05
1542,Tori Spelling,1973-05-16
1543,Len Wein,1948-06-12
1544,Roberto Saviano,1979-09-22
1545,Terry Jones,1942-02-01
1546,Michelle Sagara,1963-05-05
1547,Marguerite de Angeli,1889-03-14
1548,Tom Shales,1944-11-03
1549,Jack Gantos,1951-07-02
1550,John  Williams,1932-02-08
1551,Isa Chandra Moskowitz,1973-02-03
1552,Sara Douglass,1957-06-02
1553,Pat Barker,1943-05-08
1554,Hanif Kureishi,1954-12-05
1555,Hector Malot,1830-05-20
1556,Hergé,1907-05-22
1557,Dylan Thomas,1914-10-27
1558,Stuart Woods,1938-01-09
1559,Bette Greene,1934-06-28
1560,Åsa Larsson,1966-06-28
1561,Jun'ichirō Tanizaki,1886-07-24
1562,Rita Golden Gelman,1937-07-02
1563,Bill Finger,1914-02-08
1564,Oriana Fallaci,1929-06-29
1565,Peter Matthiessen,1927-05-22
1566,Fannie Merritt Farmer,1857-03-23
1567,George Harrison,1943-02-25
1568,Scarlett Thomas,1972-07-05
1569,John Updike,1932-03-18
1570,Patrick Skene Catling,1925-02-14
1571,Faye Kellerman,1952-07-31
1572,Ruth Ozeki,1956-03-12
1573,Ramachandra Guha,1958-04-29
1574,Stephen Hunter,1946-03-25
1575,Maj Sjöwall,1935-09-25
1576,Martin Waddell,1941-04-10
1577,Cynthia Rylant,1954-06-06
1578,Henepola Gunaratana,1927-12-07
1579,Jenny McCarthy,1972-11-01
1580,Joe Sacco,1960-10-02
1581,Frances Burney,1752-06-13
1582,Dick Winters,1918-01-21
1583,Erin Gruwell,1969-08-15
1584,Terry McMillan,1951-10-18
1585,Andy Andrews,1959-05-22
1586,S.M. Stirling,1953-09-30
1587,John C. Bogle,1929-05-08
1588,Mem Fox,1946-03-05
1589,Alex Berenson,1973-01-06
1590,Joseph Stein,1912-05-30
1591,Éric-Emmanuel Schmitt,1960-03-28
1592,David Starkey,1945-01-03
1593,Len Deighton,1929-02-18
1594,Daniel Kehlmann,1975-01-13
1595,Katharine Hepburn,1907-05-12
1596,David A. Vise,1960-06-16
1597,Michael E. Porter,1947-05-23
1598,Ferenc Molnár,1878-01-12
1599,Wayne Grudem,1948-02-11
1600,Forrest Carter,1925-09-04
1601,Daniel C. Dennett,1942-03-28
1602,Patricia A. McKillip,1948-02-29
1603,George Lucas,1944-05-14
1604,Winston Graham,1908-06-30
1605,Masaru Emoto,1943-07-22
1606,Peter Hedges,1962-07-06
1607,Rafael Sabatini,1875-04-29
1608,E.T.A. Hoffmann,1776-01-24
1609,Mark Mathabane,1960-10-18
1610,John D. MacDonald,1916-07-24
1611,Anne Rampling,1941-10-04
1612,Nicky Cruz,1938-12-06
1613,Paul Galdone,1907-06-02
1614,Kurt Cobain,1967-02-20
1615,Marge Piercy,1936-03-31
1616,Melissa Anelli,1979-12-27
1617,Winifred Watson,1906-10-20
1618,Richard Wurmbrand,1909-03-24
1619,Mourid Barghouti,1944-07-08
1620,Anne Michaels,1958-04-15
1621,Anne Sexton,1928-11-09
1622,Anthony Trollope,1815-04-24
1623,Linda Fairstein,1947-05-05
1624,Steve Coll,1958-10-08
1625,Rory Stewart,1973-01-03
1626,Samuel R. Delany,1942-04-01
1627,K.A. Applegate,1956-10-09
1628,Robert J. Sawyer,1960-04-29
1629,Marshall McLuhan,1911-07-21
1630,Tim Powers,1952-02-29
1631,Ann Aguirre,1970-08-27
1632,Christopher R. Browning,1944-05-22
1633,Will Durant,1885-11-05
1634,Judith Krantz,1928-01-09
1635,Nawal El Saadawi,1931-10-22
1636,Erich von Däniken,1935-04-14
1637,Tiffanie DeBartolo,1970-11-27
1638,C.S. Forester,1899-08-27
1639,Baruch Spinoza,1632-11-24
1640,Anatoli Boukreev,1958-01-16
1641,Paul Michael,1926-08-15
1642,Jeanne Wakatsuki Houston,1934-09-26
1643,Michael Frayn,1933-09-08
1644,Robert Shea,1933-02-14
1645,Jennifer Roy,1967-05-26
1646,Mélanie Watt,1975-08-20
1647,Adam Gopnik,1956-08-24
1648,Tsitsi Dangarembga,1959-02-04
1649,Carl R. Rogers,1902-01-08
1650,Manuel Puig,1932-12-28
1651,Jed Rubenfeld,1959-02-15
1652,Lisa Unger,1970-04-26
1653,Emily Rodda,1948-04-02
1654,William Manchester,1922-04-01
1655,Andre Norton,1912-02-17
1656,Bruce Chatwin,1940-05-13
1657,Richard Nelson Bolles,1927-03-19
1658,Mary Mapes Dodge,1831-01-26
1659,Ben Macintyre,1963-12-25
1660,Humphrey Carpenter,1946-04-29
1661,Ryūnosuke Akutagawa,1892-03-01
1662,Iris Rainer Dart,1944-03-03
1663,Lorrie Moore,1957-01-13
1664,Miguel de Unamuno,1864-09-29
1665,Dick King-Smith,1922-03-27
1666,Donald Hall,1928-09-20
1667,Harold McGee,1951-10-03
1668,Sivananda Saraswati,1887-09-08
1669,Sharon M. Draper,1948-08-21
1670,C.J. Cherryh,1942-09-01
1671,Harry Bernstein,1910-05-30
1672,Thérèse de Lisieux,1873-01-02
1673,Alexander Pope,1688-05-21
1674,Jon J. Muth,1960-07-28
1675,Richard Branson,1950-07-18
1676,Beth Moore,1957-06-16
1677,John O'Hara,1905-01-31
1678,Sylvia Day,1973-03-11
1679,Neil Simon,1927-07-04
1680,Wendell Berry,1934-08-05
1681,Barbara Delinsky,1945-08-08
1682,Charles Bernard Nordhoff,1887-02-01
1683,Jane Jacobs,1916-05-04
1684,Michael Robotham,1960-11-09
1685,Laurence Bergreen,1950-02-04
1686,Dana Stabenow,1952-03-27
1687,Andy McDermott,1974-07-02
1688,Joel Fuhrman,1953-12-02
1689,David Hackett Fischer,1935-12-02
1690,Lorenzo Carcaterra,1954-10-16
1691,Martin McDonagh,1970-03-26
1692,Gordon B. Hinckley,1910-06-23
1693,J.A. Konrath,1970-03-29
1694,Steven Brust,1955-11-23
1695,Julia Spencer-Fleming,1961-06-26
1696,Charles Perrault,1628-01-12
1697,Temple Grandin,1947-08-29
1698,John Cheever,1912-05-27
1699,Alex  Ross,1970-01-22
1700,W.P. Kinsella,1935-05-25
1701,Elizabeth Moon,1945-03-07
1702,Susan Campbell Bartoletti,1958-11-18
1703,William Carlos Williams,1883-09-17
1704,Radclyffe Hall,1880-08-12
1705,Samad Behrangi,1939-06-24
1706,Max Barry,1973-03-18
1707,Gustave Le Bon,1841-05-07
1708,Eldridge Cleaver,1935-08-31
1709,Josh Kilmer-Purcell,1969-08-28
1710,Gavin Menzies,1937-08-14
1711,Colin Dexter,1930-09-29
1712,Lynley Dodd,1941-07-05
1713,Steven Gould,1955-02-07
1714,Robert McKee,1941-01-30
1715,Erma Bombeck,1927-02-21
1716,Joel Osteen,1963-03-05
1717,Philip Caputo,1941-06-10
1718,Zig Ziglar,1926-11-06
1719,Amanda Quick,1948-03-28
1720,Ernst Jünger,1895-03-29
1721,Robyn Davidson,1950-09-06
1722,John Hodgman,1971-06-03
1723,Darrell Huff,1913-07-15
1724,Antonio Skármeta,1940-11-07
1725,Dave Wolverton,1957-05-28
1726,Lord Byron,1788-01-22
1727,Jean de La Fontaine,1621-07-08
1728,Rex Stout,1886-12-01
1729,Jules Feiffer,1929-01-26
1730,Bruce H. Lipton,1944-10-21
1731,Susanna Tamaro,1957-12-12
1732,John Keegan,1934-05-15
1733,Stephanie Bond,1981-05-16
1734,Mary Cutler,1855-06-21
1735,Harry Mulisch,1927-07-29
1736,Chris Crutcher,1946-07-17
1737,Ji-li Jiang,1954-02-02
1738,Ian Holm,1931-09-12
1739,Pamela Aidan,1953-10-18
1740,Austin Grossman,1969-06-26
1741,Judith Butler,1956-02-24
1742,Dallas Willard,1935-09-04
1743,Marjorie Weinman Sharmat,1928-11-12
1744,Irene Gut Opdyke,1922-05-05
1745,Larry Bond,1951-06-11
1746,Andy McNab,1959-12-28
1747,Melba Pattillo Beals,1941-12-07
1748,Richard Brautigan,1935-01-30
1749,Miles Davis,1926-05-26
1750,Charlie Higson,1958-07-03
1751,Scott Dikkers,1965-03-01
1752,Billy Collins,1941-03-22
1753,Gary Brandner,1930-05-31
1754,James Howe,1946-08-02
1755,Robert Bolt,1924-08-15
1756,Siobhan Dowd,1960-02-04
1757,Adrian Tomine,1974-05-31
1758,James O'Barr,1960-01-01
1759,David B.,1959-02-09
1760,Graham Swift,1949-05-04
1761,Ariel Durant,1898-05-10
1762,LaVyrle Spencer,1943-07-17
1763,Thomas J. Peters,1942-11-07
1764,Diablo Cody,1978-06-14
1765,David Henry Hwang,1957-08-11
1766,Edmondo de Amicis,1846-10-21
1767,Steve Martini,1946-02-28
1768,Pattie Boyd,1944-03-17
1769,Gloria Whelan,1923-11-23
1770,Eugène Ionesco,1909-11-26
1771,Jamie Oliver,1975-05-27
1772,Frank Darabont,1959-01-28
1773,Jackie Collins,1937-10-04
1774,Richard Henry Dana Jr.,1815-08-01
1775,Frederick P. Brooks Jr.,1931-04-19
1776,Albert Speer,1905-03-19
1777,Colin Cotterill,1952-10-02
1778,Jean Edward Smith,1932-10-13
1779,Devon Monk,1970-01-09
1780,Lisa Scottoline,1955-07-01
1781,Erin McCarthy,1990-07-07
1782,Robert  Frank,1924-11-09
1783,Jill Ker Conway,1934-10-09
1784,Esther M. Friesner,1951-07-16
1785,Frank A. Worsley,1872-02-22
1786,David Clement-Davies,1964-01-06
1787,Andrew Solomon,1963-10-30
1788,Noam Chomsky,1928-12-07
1789,Sara Ryan,1971-11-13
1790,Mary Westmacott,1890-09-15
1791,N.T. Wright,1948-12-01
1792,Francis A. Schaeffer,1912-01-30
1793,Robin Wasserman,1978-05-31
1794,Sterling North,1906-11-04
1795,E.R. Braithwaite,1912-06-27
1796,Benedict Anderson,1936-08-26
1797,Joseph Bruchac,1942-10-16
1798,Robert W. Chambers,1865-05-26
1799,Roger Lancelyn Green,1919-11-02
1800,A. Lee Martinez,1973-01-12
1801,John Ringo,1963-03-22
1802,Ngaio Marsh,1895-04-23
1803,Armstrong Sperry,1897-11-07
1804,Sheri S. Tepper,1929-07-16
1805,Tedd Arnold,1949-01-20
1806,Lois Lenski,1893-10-14
1807,Jean Baudrillard,1929-07-27
1808,Luis Alberto Urrea,1955-08-20
1809,Ernest J. Gaines,1933-01-15
1810,Moisés Kaufman,1963-11-21
1811,Helen Hooven Santmyer,1895-11-25
1812,Nien Cheng,1915-01-28
1813,Arthur Schnitzler,1862-05-15
1814,Huston Smith,1919-05-31
1815,Christina Rossetti,1830-12-05
1816,Robert E. Howard,1906-01-22
1817,Jonathan Coe,1961-08-19
1818,Ryszard Kapuściński,1932-03-04
1819,Margaret MacMillan,1943-12-23
1820,Mikhail Sholokhov,1905-05-24
1821,R.K. Narayan,1906-10-10
1822,Jenna Jameson,1974-04-09
1823,Carl von Clausewitz,1780-06-01
1824,John Christopher,1922-04-16
1825,Elizabeth Goudge,1900-04-24
1826,Lilith Saintcrow,1976-12-31
1827,Bethany Hamilton,1990-02-08
1828,Karen Abbott,1973-01-23
1829,Fareed Zakaria,1964-01-20
1830,Ruth Rendell,1930-02-17
1831,Gertrude Stein,1874-02-03
1832,Karen Wynn Fonstad,1945-04-18
1833,Simon Scarrow,1962-10-03
1834,Kaye Gibbons,1960-05-05
1835,Stephen Fry,1957-08-24
1836,W.G. Sebald,1944-05-18
1837,Laurie Lee,1914-06-26
1838,Allen Carr,1934-09-02
1839,David McKee,1935-01-02
1840,Snorri Sturluson,1179
1841,Bolesław Prus,1847-08-20
1842,C.S. Friedman,1957-01-12
1843,Victor Garber,1949-03-16
1844,Elizabeth Bishop,1911-02-08
1845,Richard Scarry,1919-06-05
1846,Meindert DeJong,1906-03-04
1847,David Lynch,1946-01-20
1848,Blaise Pascal,1623-06-19
1849,Louann Brizendine,1952-12-30
1850,Gregory Benford,1941-01-30
1851,Joan D. Vinge,1948-04-02
1852,Sidney Poitier,1927-02-20
1853,Jennifer Rardin,1965-04-28
1854,Yu Hua,1960-04-03
1855,Milton Friedman,1912-07-31
1856,Peter Hessler,1969-06-14
1857,Marsha Norman,1947-09-21
1858,Anthony Doerr,1973-10-27
1859,Pete Hamill,1935-06-24
1860,Arto Paasilinna,1942-04-20
1861,Harry G. Frankfurt,1929-05-29
1862,Phillip C. McGraw,1950-09-01
1863,Julian  May,1931-07-10
1864,Franklin Foer,1974-07-20
1865,Mary Oliver,1935-09-10
1866,John F. Kennedy,1917-05-29
1867,Marina Nemat,1965-04-22
1868,Janet Ahlberg,1938-06-05
1869,Thomas  Frank,1965-03-21
1870,Donald F. Glut,1944-02-19
1871,Johanna Reiss,1932-04-04
1872,Anthony de Mello,1931-09-04
1873,Max Weber,1864-04-21
1874,Brian Augustyn,1954-11-02
1875,Roméo Dallaire,1946-06-25
1876,Jay Winik,1957-02-08
1877,Shelby Foote,1916-11-17
1878,Leopold von Sacher-Masoch,1836-01-27
1879,Aluísio Azevedo,1857-04-14
1880,Jann S. Wenner,1946-01-07
1881,Colson Whitehead,1969-11-06
1882,Will Eisner,1917-03-06
1883,Octavio Paz,1914-03-31
1884,Ron McLarty,1947-04-26
1885,Louis L'Amour,1908-03-22
1886,Tim Weiner,1956-06-20
1887,Margaret Laurence,1926-07-18
1888,Fritz Leiber,1910-12-24
1889,John Rawls,1921-02-21
1890,James Gurney,1958-06-14
1891,Frédéric Bastiat,1801-06-30
1892,Lisa Jewell,1968-07-19
1893,Francis S. Collins,1950-04-14
1894,Steven Weinberg,1933-05-03
1895,Gail Z. Martin,1962-12-01
1896,Ben Okri,1959-03-15
1897,Boris Akunin,1956-05-20
1898,William  James,1842-01-11
1899,Ted Andrews,1952-07-15
1900,Gordon D. Fee,1934-05-23
1901,Elizabeth Barrett Browning,1806-03-06
1902,Joris-Karl Huysmans,1848-02-05
1903,Thomas Bulfinch,1796-07-15
1904,Eudora Welty,1909-04-13
1905,Bozorg Alavi,1904-02-02
1906,Clifford Stoll,1950-06-04
1907,Tom Sharpe,1928-03-30
1908,Karen Russell,1981-07-10
1909,Kevin Brockmeier,1972-12-06
1910,John Gunther,1901-08-30
1911,Isobelle Carmody,1958-06-16
1912,Lawrence Durrell,1912-02-27
1913,Edward de Bono,1933-05-19
1914,Dorothy Parker,1893-08-22
1915,David Halberstam,1934-04-10
1916,Deb Caletti,1963-06-16
1917,Arthur Machen,1863-03-03
1918,Martin Sorrell,1945-02-14
1919,Tim Butcher,1967-11-15
1920,Elizabeth Jane Howard,1923-03-26
1921,Masamune Shirow,1961-11-23
1922,Zane Grey,1872-01-31
1923,William Wordsworth,1770-04-07
1924,Cathy Hopkins,1953-01-23
1925,Poppy Z. Brite,1967-05-25
1926,Oliver Goldsmith,1728-11-10
1927,Tahar Ben Jelloun,1944-12-01
1928,William M. Bass,1928-08-30
1929,Richard Stark,1933-07-12
1930,Lawrence Ferlinghetti,1919-03-24
1931,Alain-Fournier,1886-10-03
1932,Daniel J. Boorstin,1914-10-01
1933,Michael A. Stackpole,1957-11-27
1934,Martin Lings,1909-01-24
1935,Harold Pinter,1930-10-10
1936,Karel Čapek,1890-01-09
1937,Neil Sheehan,1936-10-27
1938,Esmeralda Santiago,1948-05-17
1939,Stephen Sondheim,1930-03-22
1940,Cornel West,1953-06-02
1941,Thea Beckman,1923-07-23
1942,Brian Wansink,1960-06-28
1943,Zlata Filipović,1981-12-03
1944,Jamaica Kincaid,1949-05-25
1945,Ravi Zacharias,1946-03-26
1946,Greg Keyes,1963-04-11
1947,Wallace Stevens,1879-10-02
1948,Tanith Lee,1947-09-19
1949,Carole Wilkinson,1950-07-12
1950,Arthur Schopenhauer,1788-02-22
1951,Monty Roberts,1935-05-14
1952,Parker J. Palmer,1939-02-28
1953,John Calvin,1509-07-10
1954,Osamu Dazai,1909-06-19
1955,Natalia Ginzburg,1916-07-14
1956,William McDonough,1951-02-20
1957,Mordecai Richler,1931-01-27
1958,Robert M. Sapolsky,1957-04-06
1959,Kenzaburō Ōe,1935-01-31
1960,Samuel P. Huntington,1927-04-18
1961,Don Tapscott,1947-06-01
1962,Anthony Swofford,1970-08-12
1963,Jennifer Finney Boylan,1958-06-22
1964,Grace Metalious,1924-09-08
1965,Robert D. Hare,1931-01-01
1966,Deborah Moggach,1948-06-28
1967,Roger Kahn,1927-10-31
1968,Minette Walters,1949-09-26
1969,Miles Malleson,1888-05-25
1970,Allan Frewin Jones,1954-04-30
1971,Russell Freedman,1929-10-11
1972,Jonathan Larson,1960-02-04
1973,Bruce Olson,1941-11-10
1974,Bernard Werber,1961-09-18
1975,Jack Prelutsky,1940-09-08
1976,David Liss,1966-03-16
1977,Tanya Anne Crosby,1962-06-05
1978,Daniel G. Amen,1954-07-19
1979,William F. Nolan,1928-03-06
1980,Shirley Ann Grau,1929-07-08
1981,Darwyn Cooke,1962-11-16
1982,John Osborne,1929-12-12
1983,Neal Asher,1961-02-04
1984,Camilo José Cela,1916-05-11
1985,Bill Hybels,1951-12-12
1986,Polly Horvath,1957-01-30
1987,Eric Jerome Dickey,1961-07-07
1988,Cesar Millan,1969-08-27
1989,Katherine Applegate,1956-10-09
1990,Simon Sebag Montefiore,1965-06-27
1991,Nick Flynn,1960-01-26
1992,Nancy Holder,1953-08-29
1993,Tony Judt,1948-01-02
1994,Bernard Malamud,1914-04-26
1995,Anne Holm,1922-09-10
1996,Booth Tarkington,1869-07-29
1997,J.M. DeMatteis,1953-12-15
1998,Jeffrey D. Sachs,1954-11-05
1999,Ellen DeGeneres,1958-01-26
2000,Stanley Kubrick,1928-07-26
2001,Hayao Miyazaki,1941-01-05
2002,A.M. Homes,1961-12-18
2003,Graham Hancock,1950-08-02
2004,Daniel Pennac,1944-12-01
2005,Kazuki Takahashi,1961-10-04
2006,Marianne Curley,1959-05-20
2007,Ben Elton,1959-05-03
2008,Ann Hood,1956-12-09
2009,Iceberg Slim,1918-08-04
2010,Howard Schultz,1953-07-19
2011,Joseph O'Connor,1963-09-20
2012,Ray Kurzweil,1948-02-12
2013,Jean Giono,1895-03-30
2014,Selma Lagerlöf,1858-11-20
2015,Robert Kraus,1925-06-21
2016,Rita Mae Brown,1944-11-28
2017,David Rakoff,1964-11-27
2018,Kathi Appelt,1954-07-06
2019,André Gide,1869-11-22
2020,J.L. Carr,1912-05-20
2021,Bob Gale,1951-05-25
2022,T.E. Lawrence,1888-08-16
2023,Jacqueline Woodson,1963-02-12
2024,Elfriede Jelinek,1946-10-20
2025,Lois Duncan,1934-04-28
2026,Alice Kuipers,1979-06-29
2027,C.J. Mahaney,1953-09-21
2028,Gloria E. Anzaldúa,1942-09-26
2029,Andrey Kurkov,1961-04-23
2030,Javier Marías,1951-09-20
2031,Banana Yoshimoto,1964-07-24
2032,Francine Prose,1947-04-01
2033,Starhawk,1951-06-17
2034,Harold Coyle,1952-02-16
2035,Dexter Filkins,1961-05-24
2036,Stephen Greenblatt,1943-11-07
2037,Karin Fossum,1954-11-06
2038,Vera Brittain,1893-12-29
2039,Frank O'Hara,1926-03-27
2040,Vasily Grossman,1905-12-12
2041,Vladimir Bartol,1903-02-24
2042,Terence McKenna,1946-11-16
2043,Jim Harrison,1937-12-11
2044,Cesare Pavese,1908-09-09
2045,Ernest Becker,1924-09-27
2046,Anne Moody,1940-09-15
2047,Wataru Yoshizumi,1963-06-18
2048,Willem Frederik Hermans,1921-09-01
2049,Frank Delaney,1942-10-24
2050,J.P. Donleavy,1926-04-23
2051,Ewan McGregor,1971-03-31
2052,Thomas Sowell,1930-06-30
2053,Spider Robinson,1948-11-24
2054,Sam Shepard,1943-11-05
2055,Sigrid Undset,1882-05-20
2056,William Walker Atkinson,1862-12-05
2057,Venedikt Erofeev,1938-10-24
2058,Leonard Susskind,1940-06-16
2059,Jack Hamm,1916-03-05
2060,Kathleen Flinn,1967-06-01
2061,Lawrence Block,1938-06-24
2062,Guy Sajer,1927-01-13
2063,Pete McCarthy,1951-11-09
2064,Sarah Rees Brennan,1983-09-21
2065,Kurt Busiek,1960-09-16
2066,Laura Gallego García,1977-10-11
2067,Gordon R. Dickson,1923-11-01
2068,Eliot Asinof,1919-07-13
2069,Ted Hughes,1930-08-17
2070,Paula Fox,1923-04-22
2071,Lauren Myracle,1969-05-15
2072,Catherine Marshall,1914-09-27
2073,Richard Lee Byers,1950-09-21
2074,Jonathan London,1978-12-05
2075,Emma Bull,1954-12-13
2076,Woody Allen,1935-11-30
2077,Brian W. Kernighan,1942-01-30
2078,Geoff Johns,1973-01-25
2079,Nick Cave,1957-09-22
2080,Barry Hughart,1934-03-13
2081,Emma Thompson,1959-04-15
2082,Vicki Pettersson,1972-11-26
2083,Nathaniel Fick,1977-06-23
2084,Mark Victor Hansen,1948-01-08
2085,Wil Wheaton,1972-07-29
2086,Scott Adams,1957-06-08
2087,Ellen Bass,1947-06-16
2088,John of the Cross,1542-06-24
2089,René Barjavel,1911-01-24
2090,Desmond Morris,1928-01-24
2091,Ethel Lilian Voynich,1864-05-11
2092,Amos Oz,1939-05-04
2093,Rabindranath Tagore,1861-05-07
2094,Michael Dante DiMartino,1974-07-18
2095,Jayne Ann Krentz,1948-03-28
2096,Leonardo Sciascia,1921-01-08
2097,Jacques Pépin,1935-12-18
2098,Anne Applebaum,1964-07-25
2099,Catherynne M. Valente,1979-05-05
2100,Helen Dunmore,1952-12-12
2101,Tupac Shakur,1971-06-16
2102,Hjalmar Söderberg,1869-07-02
2103,Raymond Queneau,1903-02-21
2104,Matt Ruff,1965-09-08
2105,Eric L. Haney,1952-08-22
2106,Rosemary Sutcliff,1920-12-14
2107,Lawrence Sanders,1920-03-15
2108,Lee Iacocca,1924-10-15
2109,L.P. Hartley,1895-12-30
2110,Yrsa Sigurðardóttir,1963-08-24
2111,Ed Viesturs,1959-06-22
2112,Brian Keene,1967-09-22
2113,Algernon Blackwood,1869-03-14
2114,Robert K. Ressler,1937-02-21
2115,Samantha Power,1970-09-21
2116,Imre Kertész,1929-11-09
2117,Alexandra Day,1941-04-27
2118,Muhammad Yunus,1940-06-28
2119,Robin Furth,1965-06-11
2120,Charles de Lint,1951-12-22
2121,Eric Ludy,1970-12-17
2122,Steven Millhauser,1943-08-03
2123,Drew Goddard,1975-02-26
2124,Allen Drury,1918-09-02
2125,Ridley Pearson,1953-03-13
2126,James Goldman,1927-06-30
2127,Colm Tóibín,1955-05-30
2128,B.K.S. Iyengar,1918-12-14
2129,Carola Dunn,1946-11-14
2130,Robert Newton Peck,1928-02-17
2131,Jiddu Krishnamurti,1895-05-11
2132,Erich Kästner,1899-02-23
2133,Claire Cook,1955-02-14
2134,Kang Chol-Hwan,1968-09-18
2135,Giorgio Bassani,1916-03-04
2136,Michael Shermer,1954-09-08
2137,Pope John Paul II,1920-05-18
2138,Katherine Mansfield,1888-10-14
2139,Yumi Hotta,1957-10-15
2140,Lee Smolin,1955-06-06
2141,Vonda N. McIntyre,1948-08-28
2142,Daniel Yergin,1947-02-06
2143,Dan Gutman,1955-10-19
2144,Florence Scovel Shinn,1871-09-24
2145,Kamala Markandaya,1924-06-23
2146,David Langford,1953-04-10
2147,Nathaniel Hawthorne,1804-07-04
2148,Stephen Jay Gould,1941-09-10
2149,Jean Toomer,1894-12-26
2150,Ellen Kushner,1955-10-06
2151,Nikola Tesla,1856-07-10
2152,Maira Kalman,1949-11-05
2153,Kate Wilhelm,1928-06-08
2154,Christopher Fowler,1953-03-26
2155,Ann Petry,1908-10-12
2156,Thomas Keller,1955-10-14
2157,W. Michael Gear,1955-05-20
2158,C.D. Payne,1949-07-05
2159,Arthur Rimbaud,1854-10-20
2160,Mary Botham Howitt,1799-03-12
2161,James Weldon Johnson,1871-06-17
2162,Bel Kaufman,1911-05-10
2163,Monica Furlong,1930-01-17
2164,Mick Foley,1965-06-07
2165,Carolyn Meyer,1935-06-08
2166,Queen Noor,1951-08-23
2167,Jeffrey Gitomer,1946-02-11
2168,James Thurber,1894-12-08
2169,Gore Vidal,1925-10-03
2170,Paul Dini,1957-08-07
2171,Alexander Grin,1880-08-23
2172,Joseph Roth,1894-09-02
2173,Beverly Donofrio,1950-09-23
2174,Taylor Branch,1947-01-14
2175,Yasmina Khadra,1955-01-10
2176,Gary Taubes,1956-04-30
2177,Barbara Vine,1930-02-17
2178,Iyanla Vanzant,1953-09-13
2179,Terry Tempest Williams,1955-09-08
2180,Robert Holdstock,1948-08-02
2181,Irene M. Pepperberg,1949-04-01
2182,Scott Heim,1966-09-26
2183,Tom DeMarco,1940-08-20
2184,Joshua Slocum,1844-02-20
2185,Kinley MacGregor,1965-12-11
2186,Nick Bruel,1965-12-13
2187,Joel C. Rosenberg,1967-04-17
2188,Elizabeth Janet Gray,1902-10-06
2189,Gilda Radner,1946-06-28
2190,Elizabeth Enright,1907-09-17
2191,LeGrand Richards,1886-02-06
