,Name,Birthdate
5678,Kylie Bax,1975-01-05
5679,Dan Hedaya,1940-07-24
5680,Judd Apatow,1967-12-06
5681,Ousmane Sembene,1923-01-01
5682,Gabriel Luna,1982-12-05
5683,Stanislav Yanevski,1985-05-16
5684,Colin Ferguson,1972-07-22
5685,Justin Pierce,1975-03-21
5686,Shemar Moore,1970-04-20
5687,Allan F. Nicholls,1945-04-08
5688,Chad Randall,1980-12-30
5689,Martha Quinn,1959-05-11
5690,Memet Ali Alabora,1977-11-25
5691,Rick Cramer,1960-07-19
5692,Trevor Einhorn,1988-11-03
5693,Shane West,1978-06-10
5694,Ross Partridge,1968-02-26
5695,Rogério Skylab,1956-09-02
5696,William Hoyland,1943-11-10
5697,Sophia Bush,1982-07-08
5698,Juliet Rylance,1979-07-26
5699,Vas Blackwood,1962-10-19
5700,Michael Brooke,1952-11-29
5701,Luana Piovani,1976-08-29
5702,Lorenzo Quinteros,1945-06-14
5703,Lia Marie Johnson,1996-11-23
5704,Tim Hughes,1977-07-23
5705,Omar J. Dorsey,1975-12-22
5706,Fred Sadoff,1926-10-21
5707,Lombardo Boyar,1973-12-01
5708,Gabriella Wilde,1989-04-08
5709,Larry Bishop,1948-11-30
5710,Catherine Chau,1979-07-23
5711,Mario Monicelli,1915-05-16
5712,Clive Francis,1946-06-26
5713,Drew Carey,1958-05-23
5714,Zhanna Bolotova,1941-10-10
5715,Megumi Nakajima,1989-06-05
5716,Miroslav Holub,1923-09-13
5717,Holly Weber,1984-09-20
5718,Will Gluck,1978-11-07
5719,Ugo Pagliai,1937-11-13
5720,Stéphane Demers,1966-11-13
5721,Jessica Keenan Wynn,1986-06-12
5722,Svetlana Metkina,1974-01-07
5723,Stevie Ann,1986-06-24
5724,Tom Sizemore,1961-11-29
5725,Nicky Guadagni,1952-08-01
5726,Paul Sheriff,1903-11-13
5727,Rawshan Zamil,1931-05-08
5728,Brad Carter,1973-12-05
5729,Austin Wai,1957-08-13
5730,George Fenton,1949-10-19
5731,Tom Drake,1918-08-05
5732,Mahima Makwana,1999-08-05
5733,Robert H. Harris,1911-07-15
5734,Richard Rishi,1977-10-20
5735,Börje Nyberg,1920-03-26
5736,Mehmood Aslam,1951-12-01
5737,Diana Ross,1944-03-26
5738,Judy Toll,1958-01-14
5739,Brainpower,1975-02-05
5740,Martin Roach,1962-07-15
5741,Ichirô Nagai,1931-05-10
5742,David Emge,1946-09-09
5743,Sameera Reddy,1978-12-14
5744,Nina Paley,1968-05-03
5745,Graham Kennedy,1934-02-15
5746,Joey Dedio,1963-09-11
5747,Rick Malambri,1982-11-07
5748,Gary Trousdale,1960-06-08
5749,Arnold Schwarzenegger,1947-07-30
5750,Matt Price,1961-10-15
5751,Charles Aznavour,1924-05-22
5752,Kulvinder Ghir,1965-08-10
5753,Aditya Jain,1986-06-11
5754,Mikhail Gomorov,1898-12-27
5755,Trent Seven,1981-08-21
5756,Leonard Stone,1923-11-03
5757,Leanne Best,1979-06-15
5758,Amanda Warren,1982-07-17
5759,John McCurry,1957-06-24
5760,Joshua Harto,1979-01-09
5761,Max Gillies,1941-11-16
5762,Zach Aguilar,1998-02-21
5763,Laetitia Dosch,1980-09-01
5764,Jermaine Williams,1982-12-31
5765,Danny Goldman,1939-10-30
5766,Hassan Mustafa,1965-06-23
5767,Amy Farrington,1966-09-20
5768,Jake Thomas,1990-01-30
5769,Whitney Dylan,1976-08-16
5770,Jaromír Hanzlík,1948-02-16
5771,Klaus Grünberg,1941-11-20
5772,Bernard West,1918-05-30
5773,Patrick Newell,1932-03-27
5774,Tony Griffin,1981-01-11
5775,Ben Webster,1909-03-27
5776,Ric Mancini,1933-04-16
5777,Soledad Villamil,1969-06-19
5778,Anirban Bhattacharya,1986-10-07
5779,Sally Geeson,1950-06-23
5780,Corinne Calvet,1925-04-30
5781,Gary Kroeger,1957-04-13
5782,Jason Downs,1973-09-08
5783,Bregje Heinen,1993-03-05
5784,Yossele Rosenblatt,1882-05-09
5785,Sílvia Pérez Cruz,1983-02-15
5786,Philip Holmes,1945-05-24
5787,Masatoshi Nakamura,1951-02-01
5788,Alf Goddard,1897-11-28
5789,Omari Hardwick,1974-01-09
5790,William Cantrell,1908-01-31
5791,Jayant Sawarkar,1936-05-03
5792,Paul Dubov,1918-10-10
5793,Noel Howlett,1902-12-22
5794,Fenella Fielding,1927-11-17
5795,Ronny Chieng,1985-11-21
5796,Marija Skaricic,1977-08-06
5797,Rinku Rajguru,2001-06-03
5798,Joey Pollari,1994-04-09
5799,Jerry Penacoli,1956-07-09
5800,Dominique Swain,1980-08-12
5801,Seiji Sakaguchi,1942-02-17
5802,Petra Schmidt-Schaller,1980-08-28
5803,Seiko Iwaidô,1984-02-23
5804,Joseph Hoover,1932-08-08
5805,Romi Park,1972-01-22
5806,Lil' Kim,1974-07-11
5807,Andy Ho,1913-07-02
5808,Mieczyslaw Czechowicz,1930-09-28
5809,Raimu,1883-12-18
5810,Joelle Kayembe,1983-05-31
5811,Louise Emmons,1858-01-07
5812,Eric Jungmann,1981-12-02
5813,Vadim Glowna,1941-09-26
5814,Mithun Murali,1996-04-28
5815,Jaimie Alexander,1984-03-12
5816,Sandy Winton,1970-12-18
5817,André Abujamra,1965-05-15
5818,Jim Workman,1917-03-17
5819,Michelle Martin,1967-04-29
5820,Tomas Milian,1933-03-03
5821,David Foster,1949-11-01
5822,Don Diamont,1962-12-31
5823,Aleksandr Fatyushin,1951-03-29
5824,Ramesh Pisharody,1983-10-01
5825,Vernon Campbell,1961-04-04
5826,Whitney Jones,1986-08-11
5827,Grethe Sønck,1929-07-16
5828,Kelly Osbourne,1984-10-27
5829,Enrique Villén,1960-05-01
5830,John McGarr,1964-09-25
5831,Chantavit Dhanasevi,1983-09-18
5832,Madison Davenport,1996-11-22
5833,Lorcan Cranitch,1959-08-28
5834,Tom Welling,1977-04-26
5835,JoBe Cerny,1947-12-05
5836,Roman Kartsev,1939-05-20
5837,Zoë Wanamaker,1949-05-13
5838,Tequan Richmond,1992-10-30
5839,Catherine Ribeiro,1941-09-22
5840,Cyril Chadwick,1879-06-11
5841,Pascale Roberts,1930-10-21
5842,Jacob Haugaard,1952-05-12
5843,Naomi Sequeira,1994-12-29
5844,Susan Luckey,1938-04-04
5845,Eric Norris,1965-05-20
5846,Richard Leaf,1967-01-01
5847,Greg Finley,1984-12-22
5848,Sarah Bolger,1991-02-28
5849,Noriko Honma,1911-11-29
5850,Suhas Joshi,1947-07-14
5851,Chief Dan George,1899-07-24
5852,Ronnie Del Carmen,1959-12-31
5853,Grant Tilly,1937-12-12
5854,Otto Matieson,1893-03-27
5855,Claire Rushbrook,1971-08-25
5856,Vicente Gil,1976-01-05
5857,Eiji Kanie,1941-11-21
5858,Edward LeSaint,1871-01-01
5859,Dakota Goyo,1999-08-22
5860,Manuel Vicente,1956-05-15
5861,Ivan Urgant,1978-04-16
5862,Chris Noel,1941-07-02
5863,Marcelo Caetano,1906-08-17
5864,Eric Marshall,1879-05-29
5865,Karidja Touré,1994-02-14
5866,Nathan Lane,1956-02-03
5867,Ronn Moss,1952-03-04
5868,Morton Downey Jr.,1932-12-09
5869,Kevin O'Rourke,1963-03-25
5870,Noni Hazlehurst,1953-08-17
5871,Alexander Scourby,1913-11-13
5872,Mykelti Williamson,1957-03-04
5873,Kazuo Hayashi,1945-10-17
5874,Wes Barker,1986-04-16
5875,Tony Way,1978-10-07
5876,Dimitri Storoge,1977-07-26
5877,Frances Allen,1932-08-04
5878,Sanjay Chhel,1967-10-14
5879,Julie Khaner,1957-12-05
5880,Jing Ai,1969-09-10
5881,Ann Roth,1931-10-30
5882,Stephen Carlile,1978-04-19
5883,Julie Mayfield,1967-04-05
5884,Jason Norman,2000-03-21
5885,Chris Hebert,1973-09-28
5886,Myron Natwick,1890-08-16
5887,Daniel Mananta,1981-08-14
5888,Rosy Varte,1923-11-22
5889,Jan Maxwell,1956-11-20
5890,Lachlan Murdoch,1971-09-08
5891,Funda Eryigit,1984-11-06
5892,Lothar Blumhagen,1927-07-16
5893,Phillip Terry,1909-03-07
5894,Harriet Dyer,1988-10-17
5895,William Pawley,1896-09-07
5896,Emily Deschanel,1976-10-11
5897,Matthew Betz,1881-09-13
5898,Bjarne Mädel,1968-03-12
5899,Alicya Eyo,1975-12-16
5900,Alex Diakun,1946-02-08
5901,Dick Stabile,1909-05-29
5902,Dilshad Khan,1941-08-07
5903,Dermott Downs,1962-05-25
5904,Billy Drago,1945-11-30
5905,Max Burkholder,1997-11-01
5906,Joseph E. Bernard,1880-06-01
5907,Peter Skellern,1947-03-14
5908,Shinobu Satouchi,1958-02-11
5909,Gregg Henry,1952-05-06
5910,John Qualen,1899-12-08
5911,Karel Roden,1962-05-18
5912,Ashlynn Yennie,1985-05-15
5913,Robert Fontaine,1980-11-18
5914,Jack Pennick,1895-12-07
5915,Nat Wolff,1994-12-17
5916,Victoria Pedretti,1995-03-23
5917,Sean Penn,1960-08-17
5918,Keith Allison,1942-08-26
5919,Joel Mackenzie,1979-10-20
5920,Hamish Wilson,1942-12-13
5921,James Dean,1931-02-08
5922,Tony Bancroft,1967-07-31
5923,Erol Tas,1928-02-28
5924,Joe Anoa'i,1985-05-25
5925,Wolfe Perry,1957-01-22
5926,Hugo Haas,1901-02-19
5927,Adam Black,1784-02-20
5928,Martine Bartlett,1925-04-24
5929,Fab 5 Freddy,1959-08-31
5930,Nikki Reed,1988-05-17
5931,Vladimir Shainskiy,1925-12-12
5932,Sheila Reid,1937-12-21
5933,Indya Moore,1995-01-17
5934,Bill Keller,1949-01-18
5935,Bruce Conforth,1950-09-03
5936,Al Madrigal,1971-07-04
5937,Ibrahim Ahmed,1914-03-06
5938,Robert Lussier,1924-12-31
5939,Amparo Noguera,1965-03-06
5940,Arthur Darvill,1982-06-17
5941,Gloria Blondell,1915-08-16
5942,Oscar Ljung,1909-09-06
5943,Marla Sokoloff,1980-12-19
5944,Jessica Biel,1982-03-03
5945,Takahiro Sakurai,1974-06-13
5946,Adrienne Pickering,1981-02-22
5947,Davyd Harries,1937-01-31
5948,Ryan Gage,1983-01-17
5949,Martin Landau,1928-06-20
5950,Vyjayanthimala,1936-08-13
5951,Ian Smith,1919-04-08
5952,Robin Butler,1938-01-03
5953,Chanelle Peloso,1994-01-21
5954,Giovanna Mezzogiorno,1974-11-09
5955,Lynne Koplitz,1969-06-13
5956,David Richmond-Peck,1974-04-05
5957,Masako Nozawa,1936-10-25
5958,Tyler Patrick Jones,1994-03-12
5959,Pongpat Wachirabunjong,1961-09-02
5960,Darko Peric,1977-03-25
5961,Mark Dawson,1960-02-04
5962,Arica Himmel,2005-02-23
5963,Kenny Blank,1977-09-15
5964,Ethan Phillips,1955-02-08
5965,Mathilde Comont,1886-09-09
5966,Steve Talley,1981-08-12
5967,Aaron Sanders,1996-04-16
5968,Guillaume Gouix,1983-11-30
5969,Behnaz Jafari,1975-08-16
5970,Alexandra Bastedo,1946-03-09
5971,Dolores Costello,1903-09-17
5972,John Seru,1964-01-12
5973,Samir Badran,1990-05-25
5974,Tim Gunn,1953-07-29
5975,Ulla Skoog,1951-02-23
5976,Poppy Drayton,1991-06-07
5977,Douglas Seale,1913-10-28
5978,Lembit Ulfsak,1947-07-04
5979,Perry Anzilotti,1959-12-11
5980,Peyton Kennedy,2004-01-04
5981,Hardeep Singh Kohli,1969-01-21
5982,Kate Boutilier,1966-08-02
5983,Stan Rice,1942-11-07
5984,Brendan Fletcher,1981-12-15
5985,Jo Jordan,1962-05-05
5986,Ken Uehara,1909-11-07
5987,Melissa Tkautz,1974-01-24
5988,Robert Warwick,1878-10-09
5989,Justin Roiland,1980-02-21
5990,Swastika Mukherjee,1980-12-13
5991,Cassidy Freeman,1982-04-22
5992,Amit Sadh,1983-06-05
5993,Kelly Clarkson,1982-04-24
5994,Helena Kallenbäck,1944-11-26
5995,Victor Alexander,1969-08-31
5996,György Bárdy,1921-05-26
5997,Eli Brown,1999-08-13
5998,Nanda Kishore,1981-03-29
5999,Sissy Höfferer,1955-04-23
6000,Adrian Bower,1970-08-20
6001,Eileen O'Neill,1939-07-03
6002,Norman Issa,1967-06-17
6003,Leila Mimmack,1993-11-05
6004,Cate Blanchett,1969-05-14
6005,Jacob Perez,1996-04-21
6006,Luke Ford,1981-03-26
6007,Nikki SooHoo,1988-08-20
6008,Tomio Aoki,1923-10-07
6009,David Margulies,1937-02-19
6010,Brad Renfro,1982-07-25
6011,Annie Sorell,1975-06-13
6012,Peter Facinelli,1973-11-26
6013,Al Shea,1927-11-23
6014,Christian James,1996-10-23
6015,Carolina Dieckmann,1978-09-16
6016,Kashmira Shah,1972-12-02
6017,Peter Outerbridge,1966-06-30
6018,Ashlyn Martin,1946-03-20
6019,Brandon Jay McLaren,1982-10-15
6020,Orietta Berti,1943-06-01
6021,Malin Akerman,1978-05-12
6022,Alfie Stewart,1993-12-24
6023,Wes Studi,1947-12-17
6024,Bo Svenson,1941-02-13
6025,Ralph Marrero,1958-08-21
6026,Charlie Condou,1973-01-08
6027,Roger Allam,1953-10-26
6028,Amaia Salamanca,1986-03-28
6029,Willy Peters,1915-01-31
6030,Venkat Prabhu,1975-11-07
6031,Boyd 'Red' Morgan,1915-10-24
6032,Ralph Sanford,1899-05-21
6033,Ion Fiscuteanu,1937-11-19
6034,Bam Margera,1979-09-28
6035,Robert Emmett Keane,1883-03-04
6036,Go Soo,1978-10-04
6037,Jagadeesh Kumar,1985-10-21
6038,George Martin,1926-01-03
6039,Luis Santiago,1977-09-12
6040,Collien Ulmen-Fernandes,1981-09-26
6041,Norman Armour,1887-10-14
6042,Sam Presti,1977-11-01
6043,Wakana Aoi,1998-06-30
6044,Michael Stoyanov,1966-12-14
6045,Kamlesh Sawant,1974-06-12
6046,Ida Elise Broch,1987-06-25
6047,Naga Shaurya,1989-01-22
6048,Ted McGinley,1958-05-30
6049,Thapelo Mokoena,1982-10-21
6050,Jacky Cheung,1961-07-10
6051,Charlie Maher,1902-02-07
6052,Mike Nussbaum,1923-12-29
6053,Angela Paton,1930-01-11
6054,Karlheinz Hackl,1949-05-16
6055,Anna Lee,1913-01-02
6056,Pam Tillis,1957-07-24
6057,Evelyn Künneke,1921-12-15
6058,Rekha Bhardwaj,1964-01-24
6059,Kumiko Higa,1978-10-29
6060,Richard Belzer,1944-08-04
6061,Ashok Lokhande,1962-09-09
6062,Chaka Khan,1953-03-23
6063,Nina Maslova,1946-11-27
6064,Bob Frank,1944-02-26
6065,Peter Amory,1964-11-02
6066,Stéphane Ferrara,1956-12-25
6067,Steve Lamson,1971-03-24
6068,James Tratas,1988-12-10
6069,David Mark,1948-04-08
6070,Laurence Payne,1919-06-05
6071,Edgar Bergen,1903-02-16
6072,Joanna Shimkus,1943-10-30
6073,Christophe Lemoine,1978-12-11
6074,Danny Wagner,1922-08-01
6075,Phoebe Foster,1896-07-09
6076,Victoria Wells,1953-10-27
6077,Luke Halpin,1947-04-04
6078,Billie Mae Richards,1921-11-04
6079,Maxine Stuart,1918-06-28
6080,Heather McComb,1977-03-02
6081,Paola Mori,1928-09-18
6082,Michael French,1962-09-17
6083,Gage Clarke,1900-03-03
6084,Eddie Mills,1972-12-30
6085,Michael Eric Kramer,1962-12-18
6086,Faye Daveney,1993-02-24
6087,Alison Skipworth,1863-07-25
6088,Jenna Leigh Green,1974-08-22
6089,Jarmo Mäkinen,1958-05-29
6090,Frances de la Tour,1944-07-30
6091,Rolf Weber,1934-09-22
6092,Lil Mama,1989-10-04
6093,Charles 'Bud' Tingwell,1923-01-03
6094,Ric Segreto,1952-09-27
6095,Roy Scheider,1932-11-10
6096,Hal March,1920-04-22
6097,Ianka Fleerackers,1971-08-06
6098,Jessica Boone,1984-05-14
6099,Deepak Shetty,1991-08-28
6100,Rusty Lane,1899-05-31
6101,Juan Luis Galiardo,1940-03-02
6102,Raja Chaudhary,1975-07-23
6103,Connor Jessup,1994-06-23
6104,Leigh Taylor-Young,1945-01-25
6105,Ed Sullivan,1901-09-28
6106,Paloma Bloyd,1988-03-06
6107,Moyra Fraser,1923-12-03
6108,Aedin Moloney,1968-07-05
6109,Lee Barnes,1906-07-16
6110,Valora Noland,1941-12-08
6111,Awa Ly,1977-01-04
6112,Natalie Martinez,1984-07-12
6113,Carmen Maura,1945-09-15
6114,Mieko Harada,1958-12-26
6115,Laurent Alexandre,1973-07-09
6116,Sri Devi,1963-08-13
6117,Kathleen Turner,1954-06-19
6118,Dwier Brown,1959-01-30
6119,Ben Falcone,1973-08-25
6120,Stephen Lobo,1973-11-22
6121,Denis Mercier,1959-10-04
6122,Cleo Rocos,1962-07-24
6123,Karolyn Grimes,1940-07-04
6124,Martijn Lakemeier,1993-09-17
6125,Rahul Ramakrishna,1991-01-15
6126,Dixie Carter,1939-05-25
6127,Lynn Baggett,1923-05-10
6128,Morgan Freeman,1937-06-01
6129,Willard Louis,1882-04-19
6130,Ingeborg von Kusserow,1919-01-28
6131,Eleanor Tomlinson,1992-05-19
6132,Richard Todd,1919-06-11
6133,Marie Bunel,1961-05-27
6134,Meadow Williams,1966-02-10
6135,Ingrid Thulin,1926-01-27
6136,D.B. Sweeney,1961-11-14
6137,Jamal Woolard,1975-07-08
6138,Jeremy Blake,1971-10-04
6139,Véronique Le Flaguais,1947-11-30
6140,Pietro Pace,1831-04-09
6141,Helen Ware,1877-10-15
6142,Ronnie Barker,1929-09-25
6143,Go Yoon,1988-09-12
6144,Barbara Windsor,1937-08-06
6145,Alexa von Porembsky,1906-06-05
6146,Ely Henry,1991-10-18
6147,René Génin,1890-01-25
6148,Stuart Charno,1956-09-29
6149,Pat Cooper,1929-07-31
6150,Jean Carson,1923-02-28
6151,Dove Cameron,1996-01-15
6152,Rachel Zegler,2001-05-03
6153,Bing Crosby,1903-05-03
6154,Jack Straw,1946-08-03
6155,Hal Riddle,1919-12-11
6156,Shahid Iqbal,1953-07-15
6157,Jun'ichi Haruta,1955-03-17
6158,James Corden,1978-08-22
6159,Ryan Carnes,1982-11-21
6160,Clifford Rose,1929-10-24
6161,Tadao Takashima,1930-07-27
6162,Patricia Hearst,1954-02-20
6163,C. Arunpandian,1958-07-13
6164,Cathal Pendred,1987-09-02
6165,Patrick Toomey,1961-11-17
6166,Fern Emmett,1896-03-22
6167,Kim Myung-gon,1952-12-03
6168,Nathan Page,1971-08-25
6169,Matt Levin,1975-01-08
6170,Kim Da-mi,1995-04-09
6171,Janis Carter,1913-10-10
6172,Fanfulla,1913-02-26
6173,Alison Doody,1966-11-11
6174,Greg Kramer,1961-03-11
6175,Courtney Friel,1980-04-22
6176,Earl Poole Ball,1941-03-12
6177,Kevin Ferguson,1974-02-08
6178,James Rothenberg,1946-07-16
6179,Domiziana Giordano,1959-09-04
6180,Helena Brodin,1936-06-11
6181,Mischa Auer,1905-11-17
6182,Giulia Di Quilio,1980-11-14
6183,Arya Babbar,1981-05-24
6184,Arnold Moss,1910-01-28
6185,Massimo Venturiello,1957-08-04
6186,Cho Seung-woo,1980-03-28
6187,Jack Baxley,1884-07-04
6188,David Schmoeller,1947-12-08
6189,Dana Medrická,1920-07-11
6190,Walter Catlett,1889-02-04
6191,David Graf,1950-04-16
6192,Laure Killing,1959-01-12
6193,Cyril Nri,1961-04-25
6194,Natacha Amal,1963-09-04
6195,Kiran Juneja,1964-02-10
6196,Michael Badalucco,1954-12-20
6197,Zdzislaw Karczewski,1903-03-22
6198,Tina Romero,1949-08-14
6199,Joseph Bologna,1934-12-30
6200,Sener Sen,1941-12-26
6201,Jon Tester,1956-08-21
6202,Velraj,1969-10-21
6203,Gary Hollywood,1979-09-02
6204,Howard McNear,1905-01-27
6205,Vivien Lyra Blair,2012-06-04
6206,Brendan O'Malley,1969-07-14
6207,Enrico Maria Salerno,1926-09-18
6208,Cayden Boyd,1994-05-24
6209,Ray Panthaki,1979-01-20
6210,Ben Aris,1937-03-16
6211,Marcel Vibert,1883-11-02
6212,Takatoshi Kaneko,1978-01-17
6213,Robert Edeson,1868-06-03
6214,Allen Maldonado,1983-05-20
6215,Robert Hansen,1939-02-15
6216,Celia Montalván,1899
6217,Andrew Rannells,1978-08-23
6218,Carl Beukes,1976-10-03
6219,Angelababy,1989-02-28
6220,Trevor Matthews,1982-07-24
6221,Lee Curreri,1961-01-04
6222,Claire Danes,1979-04-12
6223,Mladen Hren,1998-08-05
6224,Doudou Masta,1971-02-26
6225,Frank Andersson,1956-05-09
6226,Mark McGrath,1968-03-15
6227,Wilbur Higby,1867-08-21
6228,Lee Leonard,1929-04-03
6229,William Tannen,1911-11-17
6230,Manuela Velasco,1975-10-23
6231,Rubina Dilaik,1989-08-26
6232,Luke Humphrey,1987-06-12
6233,Rizabawa,1966-09-24
6234,Terry Kilburn,1926-11-25
6235,Elsa Cárdenas,1932-08-03
6236,Emily Ratajkowski,1991-06-07
6237,Tony Scotti,1939-12-22
6238,Domee Shi,1989-09-08
6239,Erika Andia,1972-03-06
6240,David Denman,1973-07-25
6241,Roberta Gregory,1953-05-07
6242,Subhra Sourav Das,1988-06-01
6243,Ambrose Barker,1859-04-10
6244,Tania Mallet,1941-05-19
6245,Anna O'Byrne,1987-09-20
6246,Luther Adler,1903-05-04
6247,David Tennant,1971-04-18
6248,Rondo Hatton,1894-04-22
6249,Nikki James,1981-06-03
6250,Marvin Kaplan,1927-01-24
6251,Kurt Braunohler,1976-02-22
6252,Adam J. Harrington,1972-11-26
6253,Clara Bryant,1985-02-07
6254,June Clayworth,1905-06-09
6255,Herbert Russell,1872-12-27
6256,Serhiy Zhadan,1974-08-23
6257,Parambrata Chattopadhyay,1980-06-27
6258,Keith Carradine,1949-08-08
6259,John Osborne,1929-12-12
6260,Louise Lombard,1970-09-13
6261,Deborah Kara Unger,1966-05-12
6262,David Brand,1912-08-01
6263,Tim McKenzie,1982-07-21
6264,Lisa Golm,1891-04-10
6265,Ken Howard,1944-03-28
6266,Somluck Kamsing,1973-01-16
6267,Alyson Stoner,1993-08-11
6268,André Mattoni,1900-02-24
6269,George Devine,1910-11-20
6270,Susan Penhaligon,1949-07-03
6271,Slim Summerville,1892-07-10
6272,Bozena Dykiel,1948-08-26
6273,Doria Cook-Nelson,1944-04-04
6274,Jillian Bell,1984-04-25
6275,Maria Bonnevie,1973-09-26
6276,David Bedella,1962-09-25
6277,Alex Nevil,1965-01-25
6278,Chris D'Elia,1980-03-29
6279,Alexandra Dowling,1990-05-22
6280,Rita Christiani,1917-12-22
6281,Cut Meyriska,1993-05-26
6282,Jacob Pitts,1979-11-20
6283,Freddie Bartholomew,1924-03-28
6284,Loren Lester,1960-10-04
6285,Antwon Tanner,1975-04-14
6286,Julia Schultz,1976-05-04
6287,Alyssa Diaz,1985-09-07
6288,Stella Garcia,1942-07-06
6289,Andy West,1953-02-06
6290,Antonio Henares,1956-11-21
6291,Preben Kristensen,1953-03-14
6292,Mary J. Blige,1971-01-11
6293,Mary-Charles Jones,2001-12-28
6294,Ken Gampu,1929-08-28
6295,Mark Valley,1964-12-24
6296,Karlee Leilani Perez,1986-04-19
6297,Ray Milland,1907-01-03
6298,María Rojo,1943-08-15
6299,Kim Raver,1969-03-15
6300,Martin Brambach,1967-10-28
6301,Dhamu,1965-08-31
6302,Shobu Kapoor,1961-05-28
6303,Harold Bennett,1898-11-17
6304,Upendra Limaye,1969-11-08
6305,Janet Henfrey,1935-08-16
6306,Robert Emms,1986-05-20
6307,Mirja Turestedt,1972-09-24
6308,Ratu Felisha,1982-10-16
6309,Richard Devon,1926-12-11
6310,Zach Galligan,1964-02-14
6311,Melissanthi Mahut,1988-09-20
6312,Johanna Larsson,1988-08-17
6313,Varun Kamal,1992-12-22
6314,Elvira Lindo,1962-01-23
6315,James Spader,1960-02-07
6316,Jonah Ray,1982-08-03
6317,Chris Geere,1981-03-18
6318,Yu-Wen Wang,1971-07-29
6319,Julianne Phillips,1960-05-06
6320,Etsuko Kozakura,1971-02-22
6321,Juliette Gréco,1927-02-07
6322,Angel Ho,2007-05-30
6323,Dylan Gelula,1994-05-07
6324,Christina Chong,1983-09-18
6325,Penn Jillette,1955-03-05
6326,Michael Reich,1945-10-18
6327,Ray Romano,1957-12-21
6328,Liam Sullivan,1923-05-18
6329,Totò,1898-02-15
6330,Anna Walentynowicz,1929-08-15
6331,Frank Forsyth,1905-12-19
6332,Dario Yazbek Bernal,1990-11-30
6333,Sarah Elbert,1936-01-05
6334,Joyce Jameson,1932-09-26
6335,Andrea Pennacchi,1969-10-11
6336,Atom Mizuishi,1996-01-01
6337,Renée Elise Goldsberry,1971-01-02
6338,Larry Rapp,1948-02-20
6339,Anna Zagórska,1980-07-26
6340,Yutte Stensgaard,1946-05-14
6341,Gordon Gebert,1941-10-17
6342,Marcus Brigstocke,1973-05-08
6343,María Cotiello,1982-11-21
6344,Wade Boteler,1888-10-03
6345,Leo Staar,1986-07-24
6346,Colin Skeaping,1944-06-18
6347,Larisa Oleynik,1981-06-07
6348,Keiko Nemoto,1979-12-10
6349,Milton Brown,1903-09-08
6350,Valter Skarsgård,1995-10-25
6351,Giustino Durano,1923-05-05
6352,Cylk Cozart,1960-02-01
6353,Gary LeRoi Gray,1987-02-12
6354,Demetrius Shipp Jr.,1988-11-20
6355,Wilford Brimley,1934-09-27
6356,Marta Milans,1982-04-19
6357,Leslie Caron,1931-07-01
6358,Denis Simpson,1950-11-04
6359,Najib Amhali,1971-04-04
6360,Richard Rust,1938-07-13
6361,Alexandra Neldel,1976-02-11
6362,Kurt Yaeger,1977-01-03
6363,Aviva Mongillo,1998-02-06
6364,Rachel Sennott,1995-09-19
6365,Jason Gray-Stanford,1970-05-19
6366,Zoe Saldana,1978-06-19
6367,Burt Kwouk,1930-07-18
6368,Jelena Jovanova,1984-10-21
6369,Taito Ban,1992-12-18
6370,Richa Chadha,1986-12-18
6371,Asli Bayram,1981-04-01
6372,Jennifer Aniston,1969-02-11
6373,Peter Trent,1946-01-05
6374,Sheena Easton,1959-04-27
6375,Virginia Grey,1917-03-22
6376,Ben Lyon,1901-02-06
6377,Francesco Quinn,1963-03-22
6378,Raveendran,1943-11-09
6379,Reizl Bozyk,1914-05-13
6380,Elinor Glyn,1864-10-17
6381,Gino Cavalieri,1895-07-25
6382,Lino Capolicchio,1943-08-21
6383,Miki Jinbo,1960-06-02
6384,Keene Curtis,1923-02-15
6385,Monique Coleman,1980-11-13
6386,Mario Barravecchia,1976-11-16
6387,Chris Isaak,1956-06-26
6388,Geraldine Wall,1907-06-24
6389,Margaret Rutherford,1892-05-11
6390,Alice Marie Crowe,1957-07-13
6391,Werner Dissel,1912-08-26
6392,Billy Warlock,1961-03-26
6393,Valerie Perrine,1943-09-03
6394,Simon Helberg,1980-12-09
6395,Kari-Pekka Toivonen,1967-05-06
6396,Brooke Shields,1965-05-31
6397,John Findlater,1926-05-19
6398,Sivaji Raja,1962-02-26
6399,Christopher Parker,1983-08-24
6400,Scotty Mac,1978-11-10
6401,Sally Blane,1910-07-11
6402,Jamie Blackley,1991-07-08
6403,Rand Brooks,1918-09-21
6404,Christopher Atkins,1961-02-21
6405,Wilfrid Brambell,1912-03-22
6406,Eugene Borden,1897-03-21
6407,Sam Harris,1967-04-09
6408,Yassir Lester,1984-06-22
6409,Alan Dexter,1918-10-21
6410,Anya Lahiri,1982-05-01
6411,Jeremy Dawson,1978-05-19
6412,Carl Reindel,1935-01-20
6413,Hristina Popovic,1982-03-26
6414,Stig Henrik Hoff,1965-02-04
6415,Tanuja Samarth,1943-09-23
6416,Quinn Cummings,1967-08-13
6417,Stephen Manley,1965-02-13
6418,Lynda Mendelson,1961-01-06
6419,Peter Stickles,1976-10-08
6420,Saba Qamar,1984-04-05
6421,Stan Lee,1922-12-28
6422,Kaori Inoue,1982-10-21
6423,Bijou Phillips,1980-04-01
